URL,Supervisor
http://corrupcaobrnews.org/urgentearthur-mamaefalei-foi-assassinado-enquanto-gravava-manifestacao-no-abc-paulista/,Falsa
http://www.e-farsas.com/marielle-franco-foi-esposa-do-marcinho-vp-era-do-comando-vermelho.html,Verdadeira
https://www.ceticismopolitico.org/desembargadora-quebra-narrativa-do-psol-e-diz-que-marielle-se-envolvia-com-bandidos-e-e-cadaver-comum/,Falsa
https://capricho.abril.com.br/famosos/bruna-marquezine-nao-quer-renovar-contrato-com-a-globo-diz-colunista/,Falsa
https://catracalivre.com.br/geral/cidadania/indicacao/marielle-2/,Verdadeira
http://www.fetecpr.org.br/mbl-e-o-maior-difusor-de-noticias-falsas-conclui-pesquisa-da-usp/,Falsa
https://g1.globo.com/politica/noticia/pgr-apresenta-ao-supremo-nova-denuncia-contra-lula-gleisi-paulo-bernardo-e-marcelo-odebrecht.ghtml,Verdadeira
https://www.sensacionalista.com.br/2018/04/30/entregar-declaracao-do-ir-no-ultimo-dia-e-reconhecido-como-patrimonio-imaterial-do-brasil/,Falsa
https://www.sensacionalista.com.br/2018/04/27/novo-cd-de-post-malone-beerbongs-bentleys-e-parado-na-lei-seca/,Falsa
https://www.sensacionalista.com.br/2018/04/27/frase-precisamos-conversar-e-maior-causa-de-infarto-em-homens/,Falsa
http://www.imprensaviva.com/2017/12/joaquim-barbosa-que-nao-prendeu-lula-no.html,Falsa
http://www.jb.com.br/pais/noticias/2018/04/30/defesa-de-azeredo-recorre-de-condenacao-em-segunda-instancia/,Verdadeira
https://g1.globo.com/pr/parana/noticia/sindicalista-baleado-em-acampamento-pro-lula-tem-alta-da-uti.ghtml,Verdadeira
https://www1.folha.uol.com.br/mercado/2018/04/brasil-tem-rombo-de-r-25-bilhoes-nas-contas-publicas-em-marco-pior-para-o-mes.shtml,Verdadeira
https://www1.folha.uol.com.br/mercado/2018/04/dolar-sobe-6-em-abril-e-tem-maior-alta-mensal-desde-novembro-de-2016.shtml,Verdadeira
https://www1.folha.uol.com.br/cotidiano/2018/04/apos-assassinato-de-pm-grande-belem-tem-27-mortes-em-dois-dias.shtml,Verdadeira
